uid smoi rep sym_res_dis update host_count sym_count free_sym_count hosted_sym_count sym_infectchance free_sym_infectchance hosted_sym_infectchance sym_val free_sym_val hosted_sym_val host_val cfu
1_10 1 10 500 0 10000 1 1 0 0 0 -nan 0 0 -nan 0 10000
1_10 1 10 500 100 10000 12283 8055 4228 0.283923 0.170604 0.499812 -0.266983 -0.15625 -0.477948 -0.0944833 10000
1_10 1 10 500 200 10000 13045 7650 5395 0.370536 0.211424 0.596155 -0.287638 -0.141289 -0.495157 -0.0626864 10000
1_10 1 10 500 300 10000 12637 6115 6522 0.560517 0.458268 0.656385 0.211411 0.15353 0.265679 0.859144 10000
1_10 1 10 500 400 10000 12665 5890 6775 0.623024 0.516259 0.715842 0.210863 0.157764 0.257026 0.848898 10000
1_10 1 10 500 500 10000 12723 5909 6814 0.619246 0.521511 0.704001 0.214386 0.167345 0.25518 0.852174 10000
1_10 1 10 500 600 10000 12670 5793 6877 0.627777 0.525455 0.71397 0.209062 0.153248 0.256079 0.85486 10000
1_10 1 10 500 700 10000 12585 5797 6788 0.617751 0.517018 0.703779 0.205868 0.148918 0.254503 0.849577 10000
1_10 1 10 500 800 10000 12666 5760 6906 0.631128 0.53166 0.71409 0.208158 0.152977 0.254182 0.845736 10000
1_10 1 10 500 900 10000 12606 5712 6894 0.636614 0.528948 0.725821 0.212365 0.15168 0.262646 0.856369 10000
1_10 1 10 500 1000 10000 12474 5680 6794 0.621214 0.521961 0.704193 0.215885 0.166312 0.257329 0.849601 10000
1_10 1 10 500 1100 10000 12585 5847 6738 0.623493 0.516837 0.716045 0.217121 0.166321 0.261205 0.858058 10000
1_10 1 10 500 1200 10000 12647 5807 6840 0.616802 0.523883 0.695687 0.209123 0.152776 0.256959 0.848147 10000
1_10 1 10 500 1300 10000 12561 5751 6810 0.631503 0.528788 0.718246 0.207901 0.150267 0.256572 0.854206 10000
1_10 1 10 500 1400 10000 12508 5703 6805 0.628064 0.538349 0.703251 0.217931 0.170168 0.257959 0.856572 10000
1_10 1 10 500 1500 10000 12691 5896 6795 0.612889 0.511859 0.700553 0.213414 0.162697 0.257422 0.856459 10000
1_10 1 10 500 1600 10000 12532 5793 6739 0.618957 0.517721 0.705982 0.20887 0.152959 0.256932 0.850654 10000
1_10 1 10 500 1700 10000 12653 5928 6725 0.615934 0.523813 0.697138 0.207505 0.159589 0.249742 0.839435 10000
1_10 1 10 500 1800 10000 12621 5775 6846 0.629565 0.528121 0.715139 0.212547 0.161243 0.255826 0.86311 10000
1_10 1 10 500 1900 10000 12602 5846 6756 0.626235 0.528998 0.710374 0.214735 0.162937 0.259556 0.862881 10000
1_10 1 10 500 2000 10000 12588 5775 6813 0.628238 0.523783 0.716779 0.203703 0.149434 0.249704 0.849855 10000
1_10 1 10 500 2100 10000 12538 5640 6898 0.638812 0.538825 0.720564 0.21463 0.159449 0.259748 0.858699 10000
1_10 1 10 500 2200 10000 12585 5784 6801 0.632284 0.530813 0.718582 0.215391 0.163254 0.259731 0.851693 10000
1_10 1 10 500 2300 10000 12488 5790 6698 0.620581 0.522288 0.70555 0.21963 0.16916 0.263259 0.851124 10000
1_10 1 10 500 2400 10000 12566 5701 6865 0.647119 0.554275 0.724222 0.21105 0.160956 0.25265 0.856486 10000
1_10 1 10 500 2500 10000 12621 5851 6770 0.618475 0.515603 0.707383 0.210202 0.157929 0.255379 0.848824 10000
1_10 1 10 500 2600 10000 12603 5869 6734 0.607086 0.510197 0.691529 0.21034 0.161598 0.252822 0.850783 10000
1_10 1 10 500 2700 10000 12586 5862 6724 0.612377 0.510234 0.701426 0.214992 0.163351 0.260012 0.847013 10000
1_10 1 10 500 2800 10000 12688 5939 6749 0.605735 0.512493 0.687786 0.209264 0.15584 0.256277 0.859513 10000
1_10 1 10 500 2900 10000 12542 5753 6789 0.617002 0.527811 0.692581 0.209328 0.159153 0.251846 0.843624 10000
1_10 1 10 500 3000 10000 12592 5739 6853 0.635695 0.539322 0.716401 0.208453 0.152961 0.254925 0.858946 10000
1_10 1 10 500 3100 10000 12489 5690 6799 0.64608 0.543021 0.732329 0.209219 0.153749 0.255641 0.846944 10000
1_10 1 10 500 3200 10000 12639 5744 6895 0.636831 0.53989 0.717589 0.210884 0.159855 0.253394 0.849524 10000
1_10 1 10 500 3300 10000 12675 5880 6795 0.618107 0.51727 0.705365 0.205087 0.150233 0.252556 0.849026 10000
1_10 1 10 500 3400 10000 12597 5748 6849 0.626135 0.53385 0.703585 0.212773 0.160474 0.256665 0.855404 10000
1_10 1 10 500 3500 10000 12529 5738 6791 0.63289 0.533325 0.717016 0.212115 0.159325 0.25672 0.852433 10000
1_10 1 10 500 3600 10000 12503 5771 6732 0.638482 0.538437 0.724246 0.211268 0.157608 0.257267 0.850391 10000
1_10 1 10 500 3700 10000 12642 5775 6867 0.623224 0.526849 0.704273 0.202552 0.147213 0.249091 0.849666 10000
1_10 1 10 500 3800 10000 12549 5812 6737 0.627984 0.532437 0.710413 0.214792 0.161914 0.26041 0.860223 10000
1_10 1 10 500 3900 10000 12641 5811 6830 0.6341 0.538856 0.715133 0.212784 0.155998 0.261097 0.855993 10000
1_10 1 10 500 4000 10000 12611 5690 6921 0.639132 0.548708 0.713473 0.211491 0.160421 0.253476 0.857306 10000
1_10 1 10 500 4100 10000 12560 5854 6706 0.619627 0.521152 0.705591 0.213483 0.157302 0.262526 0.855401 10000
