uid smoi rep sym_res_dis update host_count sym_count free_sym_count hosted_sym_count sym_infectchance free_sym_infectchance hosted_sym_infectchance sym_val free_sym_val hosted_sym_val host_val cfu
1_10 1 10 500 0 10000 1 1 0 0 0 -nan 0 0 -nan 0 10000
1_10 1 10 500 100 10000 11439 8867 2572 0.138544 0.110301 0.235914 -0.0589485 -0.0514065 -0.0849497 -0.00479207 10000
1_10 1 10 500 200 10000 11450 8881 2569 0.134793 0.108821 0.224576 -0.0417825 -0.0347882 -0.0659619 -0.0227922 10000
1_10 1 10 500 300 10000 11392 8908 2484 0.13576 0.109224 0.23092 -0.0307712 -0.0242714 -0.0540805 -0.0213188 10000
1_10 1 10 500 400 10000 11307 8901 2406 0.129894 0.106788 0.215375 -0.0303886 -0.0236647 -0.0552636 -0.0448201 10000
1_10 1 10 500 500 10000 11472 8861 2611 0.138094 0.108786 0.237557 -0.0359513 -0.0282308 -0.0621525 -0.013948 10000
1_10 1 10 500 600 10000 11473 8895 2578 0.133808 0.105028 0.233113 -0.0391717 -0.0267822 -0.0819197 -0.0113024 10000
1_10 1 10 500 700 10000 11267 8907 2360 0.127326 0.102107 0.222507 -0.0568208 -0.0490528 -0.0861384 -0.0382206 10000
1_10 1 10 500 800 10000 11338 8943 2395 0.129784 0.105419 0.220765 -0.0540647 -0.0495042 -0.0710939 -0.0378755 10000
1_10 1 10 500 900 10000 11310 8892 2418 0.129639 0.104194 0.22321 -0.0423959 -0.0377332 -0.0595426 -0.0347184 10000
1_10 1 10 500 1000 10000 11327 8898 2429 0.130921 0.105538 0.223906 -0.038292 -0.0326435 -0.0589836 -0.0339678 10000
1_10 1 10 500 1100 10000 11448 8865 2583 0.134191 0.10753 0.225692 -0.0487176 -0.040785 -0.0759427 -0.0282097 10000
1_10 1 10 500 1200 10000 11408 8869 2539 0.139146 0.111957 0.23412 -0.0555429 -0.0475498 -0.0834635 -0.020253 10000
1_10 1 10 500 1300 10000 11334 8938 2396 0.127573 0.104812 0.212481 -0.0440243 -0.038726 -0.0637892 -0.0259634 10000
1_10 1 10 500 1400 10000 11363 8879 2484 0.133987 0.110092 0.219398 -0.0500774 -0.0442574 -0.0708811 -0.0106223 10000
1_10 1 10 500 1500 10000 11279 8890 2389 0.130969 0.105886 0.224307 -0.0464103 -0.0378827 -0.0781432 -0.0302438 10000
1_10 1 10 500 1600 10000 11270 8930 2340 0.127255 0.102685 0.221021 -0.0343311 -0.0268329 -0.0629461 -0.0383428 10000
1_10 1 10 500 1700 10000 13181 8350 4831 0.230939 0.174072 0.329229 0.136414 0.0759775 0.240873 0.465157 10000
1_10 1 10 500 1800 10000 13505 6261 7244 0.567313 0.458252 0.661575 0.253397 0.192987 0.30561 0.860197 10000
1_10 1 10 500 1900 10000 13239 5872 7367 0.616731 0.50749 0.703804 0.246898 0.182089 0.298556 0.857193 10000
1_10 1 10 500 2000 10000 13276 5949 7327 0.619626 0.516892 0.703039 0.251202 0.189928 0.300952 0.860004 10000
1_10 1 10 500 2100 10000 13303 5805 7498 0.635407 0.534789 0.713306 0.247837 0.187984 0.294177 0.85631 10000
1_10 1 10 500 2200 10000 13242 5854 7388 0.616883 0.511382 0.700478 0.248487 0.186995 0.297211 0.862406 10000
1_10 1 10 500 2300 10000 13130 5724 7406 0.640034 0.539263 0.717918 0.247901 0.187144 0.294859 0.864999 10000
1_10 1 10 500 2400 10000 13261 5848 7413 0.632772 0.523084 0.719304 0.246935 0.188146 0.293314 0.858276 10000
1_10 1 10 500 2500 10000 13236 5753 7483 0.636599 0.529176 0.719187 0.245476 0.182266 0.294072 0.856218 10000
1_10 1 10 500 2600 10000 13147 5669 7478 0.65079 0.549679 0.727442 0.249476 0.190946 0.293846 0.860971 10000
1_10 1 10 500 2700 10000 13211 5764 7447 0.637808 0.526869 0.723675 0.245491 0.182315 0.294389 0.865775 10000
1_10 1 10 500 2800 10000 13195 5789 7406 0.624791 0.513369 0.711886 0.246381 0.189071 0.291178 0.859898 10000
1_10 1 10 500 2900 10000 13057 5598 7459 0.655343 0.553593 0.731706 0.253572 0.191022 0.300516 0.863627 10000
1_10 1 10 500 3000 10000 13176 5817 7359 0.627203 0.516545 0.714673 0.249063 0.188894 0.296624 0.857855 10000
1_10 1 10 500 3100 10000 13472 6043 7429 0.614197 0.50755 0.700947 0.248559 0.18564 0.299739 0.865163 10000
1_10 1 10 500 3200 10000 13262 5817 7445 0.628383 0.521254 0.712086 0.244388 0.177968 0.296284 0.85572 10000
1_10 1 10 500 3300 10000 13252 5825 7427 0.613107 0.513534 0.691202 0.247285 0.182328 0.298232 0.860299 10000
1_10 1 10 500 3400 10000 13115 5747 7368 0.637878 0.52562 0.725438 0.251039 0.190477 0.298277 0.860766 10000
1_10 1 10 500 3500 10000 13165 5710 7455 0.642856 0.534389 0.725935 0.247195 0.182628 0.296649 0.861139 10000
1_10 1 10 500 3600 10000 13036 5574 7462 0.656845 0.548671 0.737649 0.25384 0.195155 0.297678 0.863649 10000
1_10 1 10 500 3700 10000 13110 5737 7373 0.63149 0.52424 0.714942 0.245857 0.180178 0.296962 0.855298 10000
1_10 1 10 500 3800 10000 13231 5821 7410 0.617955 0.516235 0.697861 0.25117 0.194543 0.295654 0.862753 10000
1_10 1 10 500 3900 10000 13169 5762 7407 0.630091 0.532541 0.705977 0.245902 0.185886 0.29259 0.849139 10000
1_10 1 10 500 4000 10000 13183 5786 7397 0.629402 0.524522 0.711441 0.253878 0.193964 0.300744 0.863671 10000
1_10 1 10 500 4100 10000 13233 5729 7504 0.634091 0.525865 0.716717 0.241897 0.174404 0.293426 0.850239 10000
1_10 1 10 500 4200 10000 13288 5862 7426 0.618491 0.504274 0.708653 0.244397 0.183383 0.29256 0.855793 10000
1_10 1 10 500 4300 10000 13201 5855 7346 0.617683 0.511956 0.701952 0.246768 0.184768 0.296185 0.863159 10000
1_10 1 10 500 4400 10000 13300 5862 7438 0.613203 0.50008 0.702357 0.247272 0.182524 0.298301 0.860225 10000
1_10 1 10 500 4500 10000 13205 5770 7435 0.626873 0.518042 0.711333 0.243708 0.177496 0.295091 0.86345 10000
1_10 1 10 500 4600 10000 13130 5721 7409 0.639365 0.529617 0.724109 0.244604 0.181567 0.29328 0.856441 10000
1_10 1 10 500 4700 10000 13094 5481 7613 0.668191 0.575972 0.734584 0.245393 0.18046 0.292141 0.86276 10000
1_10 1 10 500 4800 10000 13264 5839 7425 0.626463 0.527152 0.70456 0.244515 0.185247 0.291123 0.862228 10000
1_10 1 10 500 4900 10000 13219 5673 7546 0.653737 0.54676 0.734162 0.245466 0.181804 0.293327 0.860649 10000
1_10 1 10 500 5000 10000 13314 5962 7352 0.603678 0.497094 0.690111 0.244844 0.179405 0.297911 0.85262 10000
1_10 1 10 500 5100 10000 13152 5667 7485 0.658678 0.551479 0.73984 0.246094 0.186335 0.291338 0.860026 10000
1_10 1 10 500 5200 10000 13135 5735 7400 0.630093 0.526416 0.710443 0.247436 0.183222 0.297201 0.855107 10000
1_10 1 10 500 5300 10000 13086 5654 7432 0.654801 0.551227 0.733597 0.246916 0.183845 0.294898 0.86189 10000
1_10 1 10 500 5400 10000 13249 5792 7457 0.630651 0.527456 0.710804 0.246371 0.183986 0.294826 0.861245 10000
1_10 1 10 500 5500 10000 13331 5888 7443 0.636343 0.514408 0.732804 0.242505 0.174898 0.295987 0.857355 10000
1_10 1 10 500 5600 10000 13068 5664 7404 0.6544 0.540603 0.741454 0.247853 0.182244 0.298044 0.864055 10000
1_10 1 10 500 5700 10000 13130 5721 7409 0.631884 0.517084 0.72053 0.245855 0.180883 0.296025 0.853549 10000
1_10 1 10 500 5800 10000 13277 5806 7471 0.62875 0.5285 0.706658 0.252386 0.189416 0.301323 0.867001 10000
1_10 1 10 500 5900 10000 13276 5846 7430 0.633623 0.529502 0.715545 0.244812 0.179999 0.295807 0.859223 10000
1_10 1 10 500 6000 10000 13170 5733 7437 0.635936 0.534068 0.714465 0.246047 0.188156 0.290674 0.857065 10000
1_10 1 10 500 6100 10000 13173 5783 7390 0.631297 0.518126 0.719858 0.248761 0.191101 0.293883 0.85994 10000
1_10 1 10 500 6200 10000 13099 5743 7356 0.634219 0.528327 0.716892 0.244775 0.181005 0.294562 0.853277 10000
1_10 1 10 500 6300 10000 13105 5595 7510 0.650811 0.55462 0.722473 0.246591 0.184231 0.29305 0.856449 10000
1_10 1 10 500 6400 10000 13284 5793 7491 0.642097 0.543029 0.71871 0.250235 0.190084 0.296753 0.86227 10000
1_10 1 10 500 6500 10000 13125 5703 7422 0.637278 0.537325 0.714081 0.253672 0.196665 0.297475 0.870903 10000
1_10 1 10 500 6600 10000 13169 5771 7398 0.630027 0.529422 0.708506 0.248689 0.187661 0.296296 0.861586 10000
1_10 1 10 500 6700 10000 13092 5672 7420 0.640703 0.540726 0.717128 0.250659 0.18937 0.29751 0.864527 10000
1_10 1 10 500 6800 10000 13176 5723 7453 0.640394 0.532943 0.722904 0.244419 0.181088 0.293049 0.859972 10000
1_10 1 10 500 6900 10000 13139 5639 7500 0.655428 0.558087 0.728616 0.24654 0.184957 0.292843 0.860963 10000
1_10 1 10 500 7000 10000 13275 5830 7445 0.629937 0.51625 0.718963 0.245742 0.180504 0.296828 0.856598 10000
1_10 1 10 500 7100 10000 13107 5649 7458 0.645734 0.536291 0.728631 0.245078 0.181294 0.29339 0.860007 10000
1_10 1 10 500 7200 10000 13212 5727 7485 0.631486 0.525088 0.712894 0.248269 0.185775 0.296085 0.862944 10000
