uid smoi rep sym_res_dis update host_count sym_count free_sym_count hosted_sym_count sym_infectchance free_sym_infectchance hosted_sym_infectchance sym_val free_sym_val hosted_sym_val host_val cfu
1_10 1 10 500 0 10000 6292 6292 0 0 0 -nan 0 0 -nan 0 10000
1_10 1 10 500 100 10000 11673 8715 2958 0.166195 0.122336 0.295413 -0.161156 -0.129183 -0.255355 -0.0983938 10000
1_10 1 10 500 200 10000 13265 7180 6085 0.459665 0.249072 0.708154 -0.426605 -0.218611 -0.672027 -0.172192 10000
1_10 1 10 500 300 10000 12992 7431 5561 0.416632 0.221332 0.677605 -0.358052 -0.161701 -0.62043 -0.170511 10000
1_10 1 10 500 400 10000 12972 7964 5008 0.279388 0.225 0.365879 0.159591 0.132466 0.202727 0.819994 10000
1_10 1 10 500 500 10000 12627 5953 6674 0.602302 0.506374 0.687866 0.212847 0.16161 0.258549 0.855654 10000
1_10 1 10 500 600 10000 12565 5720 6845 0.638832 0.540289 0.721179 0.20807 0.159321 0.248807 0.845257 10000
1_10 1 10 500 700 10000 12632 5786 6846 0.639351 0.5358 0.726869 0.207724 0.15048 0.256104 0.850901 10000
1_10 1 10 500 800 10000 12537 5764 6773 0.628473 0.520452 0.720402 0.212834 0.156277 0.260965 0.854408 10000
1_10 1 10 500 900 10000 12458 5761 6697 0.617478 0.518047 0.703012 0.216573 0.168224 0.258164 0.856883 10000
1_10 1 10 500 1000 10000 12583 5828 6755 0.610089 0.512895 0.693945 0.208132 0.153719 0.255078 0.85322 10000
1_10 1 10 500 1100 10000 12517 5767 6750 0.638085 0.531733 0.728949 0.212565 0.163068 0.254854 0.853909 10000
1_10 1 10 500 1200 10000 12681 5901 6780 0.614936 0.50976 0.706476 0.208253 0.155609 0.254072 0.848241 10000
1_10 1 10 500 1300 10000 12668 5868 6800 0.610376 0.515355 0.692373 0.207487 0.150693 0.256496 0.854902 10000
1_10 1 10 500 1400 10000 12681 5701 6980 0.639824 0.543544 0.718462 0.208862 0.153895 0.253757 0.856251 10000
1_10 1 10 500 1500 10000 12621 5766 6855 0.634304 0.534177 0.718524 0.209458 0.153494 0.256532 0.858837 10000
1_10 1 10 500 1600 10000 12528 5687 6841 0.642541 0.539049 0.728576 0.206033 0.143616 0.257921 0.853602 10000
1_10 1 10 500 1700 10000 12680 5874 6806 0.63207 0.526729 0.722986 0.210556 0.157109 0.256684 0.852329 10000
1_10 1 10 500 1800 10000 12586 5886 6700 0.606858 0.502717 0.698346 0.213 0.156099 0.262989 0.847792 10000
1_10 1 10 500 1900 10000 12556 5699 6857 0.640101 0.555559 0.710366 0.212532 0.15492 0.260416 0.862056 10000
1_10 1 10 500 2000 10000 12626 5844 6782 0.6215 0.515416 0.712911 0.204043 0.143553 0.256167 0.852963 10000
1_10 1 10 500 2100 10000 12559 5730 6829 0.637114 0.538441 0.719907 0.206567 0.153775 0.250863 0.851957 10000
1_10 1 10 500 2200 10000 12597 5707 6890 0.637455 0.533791 0.72332 0.213604 0.158742 0.259047 0.856835 10000
1_10 1 10 500 2300 10000 12595 5809 6786 0.642588 0.54397 0.727008 0.207666 0.154402 0.253261 0.85964 10000
1_10 1 10 500 2400 10000 12591 5873 6718 0.620505 0.512198 0.715189 0.210272 0.155883 0.25782 0.852043 10000
1_10 1 10 500 2500 10000 12525 5762 6763 0.621777 0.516367 0.711585 0.207607 0.152885 0.25423 0.850528 10000
1_10 1 10 500 2600 10000 12692 5781 6911 0.642443 0.539388 0.728649 0.202839 0.147236 0.249349 0.86011 10000
1_10 1 10 500 2700 10000 12829 5950 6879 0.623198 0.519685 0.712732 0.210066 0.158234 0.254897 0.862434 10000
1_10 1 10 500 2800 10000 12416 5641 6775 0.633808 0.531263 0.719189 0.216794 0.162434 0.262054 0.851166 10000
1_10 1 10 500 2900 10000 12520 5794 6726 0.621751 0.518511 0.710685 0.215578 0.163732 0.260239 0.860405 10000
1_10 1 10 500 3000 10000 12546 5689 6857 0.637937 0.545076 0.714979 0.210924 0.157984 0.254846 0.847238 10000
1_10 1 10 500 3100 10000 12583 5713 6870 0.63342 0.532605 0.717257 0.212566 0.159555 0.256648 0.852686 10000
1_10 1 10 500 3200 10000 12575 5712 6863 0.629843 0.532956 0.710481 0.212263 0.157553 0.257797 0.851623 10000
1_10 1 10 500 3300 10000 12537 5815 6722 0.624625 0.519205 0.715821 0.210862 0.154306 0.259786 0.851411 10000
1_10 1 10 500 3400 10000 12695 5870 6825 0.615789 0.515217 0.702289 0.215862 0.162917 0.2614 0.863391 10000
1_10 1 10 500 3500 10000 12581 5685 6896 0.634118 0.538243 0.713157 0.214324 0.159598 0.259439 0.858695 10000
1_10 1 10 500 3600 10000 12623 5840 6783 0.619585 0.521277 0.704226 0.21183 0.164405 0.252661 0.852517 10000
1_10 1 10 500 3700 10000 12630 5845 6785 0.62542 0.520709 0.715624 0.20965 0.152768 0.25865 0.851551 10000
1_10 1 10 500 3800 10000 12565 5793 6772 0.630633 0.532788 0.714333 0.211079 0.153516 0.26032 0.850039 10000
1_10 1 10 500 3900 10000 12671 5835 6836 0.629139 0.535457 0.709103 0.207196 0.150982 0.255179 0.85271 10000
1_10 1 10 500 4000 10000 12510 5775 6735 0.629849 0.530753 0.71482 0.209275 0.156258 0.254734 0.848046 10000
1_10 1 10 500 4100 10000 12700 5971 6729 0.619429 0.511947 0.714804 0.205183 0.150089 0.254071 0.852322 10000
1_10 1 10 500 4200 10000 12528 5827 6701 0.627309 0.528043 0.713627 0.21343 0.16159 0.258508 0.852516 10000
1_10 1 10 500 4300 10000 12477 5693 6784 0.642089 0.539815 0.727915 0.213015 0.161097 0.256582 0.858205 10000
1_10 1 10 500 4400 10000 12592 5716 6876 0.625213 0.531283 0.703296 0.213944 0.160228 0.258599 0.852435 10000
1_10 1 10 500 4500 10000 12586 5762 6824 0.633703 0.531279 0.720186 0.206864 0.153006 0.25234 0.841716 10000
1_10 1 10 500 4600 10000 12614 5816 6798 0.619102 0.521281 0.702793 0.211167 0.162878 0.25248 0.859672 10000
1_10 1 10 500 4700 10000 12644 5892 6752 0.614509 0.51126 0.704607 0.20443 0.145486 0.255867 0.847284 10000
1_10 1 10 500 4800 10000 12472 5730 6742 0.638461 0.535631 0.725856 0.211879 0.155399 0.259881 0.861117 10000
1_10 1 10 500 4900 10000 12598 5815 6783 0.627376 0.528638 0.712022 0.216008 0.162426 0.261943 0.852817 10000
1_10 1 10 500 5000 10000 12578 5774 6804 0.633858 0.529585 0.722346 0.214277 0.156838 0.263021 0.864009 10000
1_10 1 10 500 5100 10000 12539 5844 6695 0.602468 0.492741 0.698247 0.217414 0.164538 0.263569 0.850588 10000
1_10 1 10 500 5200 10000 12704 5874 6830 0.622348 0.524382 0.706602 0.209176 0.157644 0.253494 0.852634 10000
1_10 1 10 500 5300 10000 12489 5734 6755 0.634076 0.520972 0.730084 0.212679 0.152338 0.263899 0.851796 10000
1_10 1 10 500 5400 10000 12457 5594 6863 0.645708 0.548442 0.72499 0.213103 0.158167 0.25788 0.849286 10000
1_10 1 10 500 5500 10000 12549 5717 6832 0.63279 0.535256 0.714406 0.212818 0.158559 0.258222 0.858782 10000
1_10 1 10 500 5600 10000 12529 5660 6869 0.633229 0.539069 0.710816 0.213 0.159559 0.257035 0.848232 10000
1_10 1 10 500 5700 10000 12571 5779 6792 0.630464 0.528617 0.717122 0.209298 0.155914 0.254719 0.848241 10000
1_10 1 10 500 5800 10000 12631 5823 6808 0.631939 0.540177 0.710424 0.213734 0.163082 0.257058 0.846934 10000
1_10 1 10 500 5900 10000 12559 5709 6850 0.635549 0.533313 0.720755 0.208726 0.156459 0.252286 0.852205 10000
1_10 1 10 500 6000 10000 12593 5793 6800 0.626281 0.527362 0.710551 0.212719 0.160255 0.257414 0.856224 10000
1_10 1 10 500 6100 10000 12589 5877 6712 0.622417 0.519686 0.712368 0.209252 0.156613 0.255342 0.85477 10000
1_10 1 10 500 6200 10000 12598 5782 6816 0.609264 0.513744 0.690295 0.212111 0.160851 0.255594 0.85298 10000
1_10 1 10 500 6300 10000 12542 5673 6869 0.647109 0.547277 0.729559 0.210232 0.156844 0.254325 0.851741 10000
1_10 1 10 500 6400 10000 12555 5730 6825 0.626192 0.529549 0.70733 0.201991 0.141361 0.252894 0.851866 10000
1_10 1 10 500 6500 10000 12443 5779 6664 0.618749 0.512792 0.710633 0.211292 0.159314 0.256367 0.846399 10000
1_10 1 10 500 6600 10000 12586 5735 6851 0.635184 0.539444 0.715328 0.212481 0.161784 0.254919 0.852217 10000
