uid smoi rep sym_res_dis update host_count sym_count free_sym_count hosted_sym_count sym_infectchance free_sym_infectchance hosted_sym_infectchance sym_val free_sym_val hosted_sym_val host_val cfu
1_10 1 10 500 0 10000 6292 6292 0 0 0 -nan 0 0 -nan 0 10000
1_10 1 10 500 100 10000 11461 8879 2582 0.137593 0.1087 0.236948 -0.0545919 -0.048809 -0.0744781 -0.0190434 10000
1_10 1 10 500 200 10000 11367 8835 2532 0.136227 0.110193 0.227068 -0.0354939 -0.0298267 -0.0552688 -0.0307304 10000
1_10 1 10 500 300 10000 11299 8889 2410 0.128906 0.104252 0.219841 -0.0391031 -0.033264 -0.06064 -0.0546835 10000
1_10 1 10 500 400 10000 11378 8951 2427 0.130084 0.106083 0.218601 -0.051106 -0.0463833 -0.068524 -0.030304 10000
1_10 1 10 500 500 10000 11382 8968 2414 0.126429 0.101913 0.217507 -0.0518568 -0.0449259 -0.0776051 -0.0288055 10000
1_10 1 10 500 600 10000 11315 8846 2469 0.134408 0.108274 0.228039 -0.0500935 -0.044588 -0.0698189 -0.0215852 10000
1_10 1 10 500 700 10000 11368 8850 2518 0.136664 0.110585 0.228322 -0.0383145 -0.0299076 -0.0678621 -0.0346587 10000
1_10 1 10 500 800 10000 11413 8862 2551 0.133253 0.107587 0.222414 -0.0529205 -0.0463507 -0.0757435 -0.0261927 10000
1_10 1 10 500 900 10000 11342 8839 2503 0.136998 0.110156 0.231786 -0.0658142 -0.0572089 -0.0962026 -0.0291196 10000
1_10 1 10 500 1000 10000 11428 8959 2469 0.131789 0.107202 0.221006 -0.0371637 -0.0285466 -0.068432 -0.033623 10000
1_10 1 10 500 1100 10000 11368 8875 2493 0.134332 0.107382 0.230272 -0.0541197 -0.0465776 -0.080969 -0.0253462 10000
1_10 1 10 500 1200 10000 11370 8843 2527 0.138743 0.112417 0.230869 -0.0437572 -0.0389014 -0.0607496 -0.0312096 10000
1_10 1 10 500 1300 10000 11373 8862 2511 0.140255 0.113593 0.234352 -0.049429 -0.0436932 -0.0696722 -0.0178784 10000
1_10 1 10 500 1400 10000 11394 8833 2561 0.136763 0.110099 0.22873 -0.0497297 -0.0423115 -0.0753154 -0.0253533 10000
1_10 1 10 500 1500 10000 11390 8878 2512 0.135219 0.107809 0.23209 -0.0502147 -0.0432595 -0.074796 -0.0291396 10000
1_10 1 10 500 1600 10000 11377 8842 2535 0.132325 0.10654 0.222265 -0.0385402 -0.0299719 -0.068426 -0.0247016 10000
1_10 1 10 500 1700 10000 11348 8842 2506 0.134568 0.110529 0.219386 -0.0394313 -0.0341901 -0.0579241 -0.0135984 10000
1_10 1 10 500 1800 10000 14144 7277 6867 0.392268 0.323894 0.464724 0.255107 0.206591 0.30652 0.856048 10000
1_10 1 10 500 1900 10000 13327 5933 7394 0.601935 0.506946 0.678155 0.249487 0.193977 0.29403 0.860558 10000
1_10 1 10 500 2000 10000 13318 5943 7375 0.616718 0.500085 0.710704 0.244684 0.181743 0.295404 0.852747 10000
1_10 1 10 500 2100 10000 13343 5972 7371 0.610044 0.505611 0.694656 0.248839 0.188469 0.29775 0.862368 10000
1_10 1 10 500 2200 10000 13145 5725 7420 0.628476 0.523278 0.709642 0.252627 0.195922 0.296378 0.857728 10000
1_10 1 10 500 2300 10000 13241 5781 7460 0.637024 0.539221 0.712814 0.242725 0.184013 0.288223 0.852627 10000
1_10 1 10 500 2400 10000 13123 5673 7450 0.636906 0.534198 0.715116 0.251239 0.189762 0.298053 0.854127 10000
1_10 1 10 500 2500 10000 13225 5772 7453 0.628744 0.528431 0.706432 0.244221 0.183687 0.291102 0.859862 10000
1_10 1 10 500 2600 10000 13051 5566 7485 0.663614 0.560514 0.740282 0.251276 0.191835 0.295478 0.863911 10000
1_10 1 10 500 2700 10000 13303 5812 7491 0.633255 0.523402 0.718486 0.245723 0.185823 0.292197 0.860589 10000
1_10 1 10 500 2800 10000 13114 5755 7359 0.625884 0.507978 0.718091 0.243798 0.176941 0.296083 0.853486 10000
1_10 1 10 500 2900 10000 13173 5722 7451 0.644627 0.535013 0.728806 0.24641 0.183388 0.294808 0.862977 10000
1_10 1 10 500 3000 10000 13246 5759 7487 0.640052 0.534122 0.721533 0.244857 0.182302 0.292975 0.854518 10000
1_10 1 10 500 3100 10000 13219 5886 7333 0.62452 0.505335 0.720187 0.245277 0.179204 0.298311 0.855858 10000
1_10 1 10 500 3200 10000 13280 5763 7517 0.628359 0.529301 0.704303 0.246346 0.186515 0.292215 0.859352 10000
1_10 1 10 500 3300 10000 13223 5823 7400 0.628293 0.515374 0.717147 0.248096 0.183562 0.298878 0.855593 10000
1_10 1 10 500 3400 10000 13264 5790 7474 0.627736 0.527227 0.705599 0.242564 0.179709 0.291257 0.856034 10000
1_10 1 10 500 3500 10000 13259 5845 7414 0.631298 0.51871 0.720059 0.24462 0.181809 0.294138 0.858792 10000
1_10 1 10 500 3600 10000 13290 5868 7422 0.620915 0.510688 0.708063 0.245127 0.181904 0.295113 0.85542 10000
1_10 1 10 500 3700 10000 13295 5871 7424 0.632489 0.519066 0.722186 0.243344 0.180203 0.293276 0.856973 10000
1_10 1 10 500 3800 10000 13221 5796 7425 0.632887 0.527874 0.714862 0.245033 0.18536 0.291614 0.856574 10000
1_10 1 10 500 3900 10000 13137 5705 7432 0.631761 0.527512 0.711784 0.250659 0.190108 0.29714 0.859179 10000
1_10 1 10 500 4000 10000 13216 5776 7440 0.620774 0.519401 0.699474 0.249723 0.192755 0.29395 0.85269 10000
1_10 1 10 500 4100 10000 13198 5750 7448 0.63051 0.532958 0.705822 0.250535 0.19485 0.293525 0.865433 10000
1_10 1 10 500 4200 10000 13140 5718 7422 0.637259 0.540439 0.71185 0.250094 0.191779 0.29502 0.863018 10000
1_10 1 10 500 4300 10000 13175 5750 7425 0.638482 0.530282 0.722273 0.245758 0.182284 0.294913 0.857949 10000
1_10 1 10 500 4400 10000 13211 5792 7419 0.633691 0.521345 0.7214 0.251902 0.193142 0.297777 0.858986 10000
1_10 1 10 500 4500 10000 13226 5756 7470 0.637173 0.527752 0.721487 0.244326 0.179867 0.293995 0.857266 10000
1_10 1 10 500 4600 10000 13282 5787 7495 0.63479 0.52483 0.719691 0.248192 0.191335 0.292093 0.862197 10000
1_10 1 10 500 4700 10000 13248 5827 7421 0.618889 0.515217 0.700293 0.244145 0.185491 0.2902 0.854688 10000
1_10 1 10 500 4800 10000 13181 5784 7397 0.626644 0.529821 0.702354 0.245652 0.186274 0.292081 0.852803 10000
