partner rep sr id info origin_time destruction_time time_in_state parent_id num_orgs
Host 10 500 2174012 4 18015 20001 1986 2173129 3352
Host 10 500 2173129 3 18007 18018 8 1998060 0
Host 10 500 1998060 4 16569 20001 1438 1997703 143
Host 10 500 1997703 3 16566 16573 3 1830795 0
Host 10 500 1830795 4 15177 20001 1389 1830738 1507
Host 10 500 1830738 3 15176 15177 1 1727515 0
Host 10 500 1727515 4 14313 17412 863 1727228 0
Host 10 500 1727228 3 14311 14330 2 1663109 0
Host 10 500 1663109 4 13767 17535 544 1661269 0
Host 10 500 1661269 3 13752 13814 15 1588817 0
Host 10 500 1588817 4 13141 14193 611 1588805 0
Host 10 500 1588805 3 13140 13142 1 1415967 0
Host 10 500 1415967 4 11696 16043 1444 1415936 0
Host 10 500 1415936 3 11696 11696 0 1412792 0
Host 10 500 1412792 4 11667 11742 29 1412776 0
Host 10 500 1412776 3 11667 11667 0 1046659 0
Host 10 500 1046659 4 8529 16985 3138 1046143 0
Host 10 500 1046143 3 8525 8543 4 958824 0
Host 10 500 958824 4 7779 10633 746 956177 0
Host 10 500 956177 3 7758 7791 21 267696 0
Host 10 500 267696 4 1925 13023 5833 267625 0
Host 10 500 267625 3 1924 1930 1 31526 0
Host 10 500 31526 4 73 3715 1851 23472 0
Host 10 500 23472 3 52 95 21 5550 0
Host 10 500 5550 2 0 136 52 NONE 0
Host 10 1000 2293973 4 17960 20001 2041 2292820 1986
Host 10 1000 2292820 3 17951 17976 9 1864035 0
Host 10 1000 1864035 4 14554 18402 3397 1863687 0
Host 10 1000 1863687 3 14551 14586 3 1189567 0
Host 10 1000 1189567 4 9208 19297 5343 1189531 0
Host 10 1000 1189531 3 9208 9208 0 1124076 0
Host 10 1000 1124076 4 8697 9531 511 1123806 0
Host 10 1000 1123806 3 8695 8704 2 966422 0
Host 10 1000 966422 4 7425 9087 1270 965416 0
Host 10 1000 965416 3 7418 7425 7 958315 0
Host 10 1000 958315 4 7355 7766 63 956845 0
Host 10 1000 956845 3 7343 7359 12 889868 0
Host 10 1000 889868 4 6810 8942 533 889645 0
Host 10 1000 889645 3 6808 6817 2 887657 0
Host 10 1000 887657 4 6791 6810 17 886910 0
Host 10 1000 886910 3 6785 6797 6 605814 0
Host 10 1000 605814 4 4581 8722 2204 605648 0
Host 10 1000 605648 3 4580 4582 1 168824 0
Host 10 1000 168824 4 1111 6623 3469 168527 0
Host 10 1000 168527 3 1109 1112 2 124234 0
Host 10 1000 124234 4 749 2625 360 124108 0
Host 10 1000 124108 3 748 749 1 33228 0
Host 10 1000 33228 4 85 3508 663 30752 0
Host 10 1000 30752 3 77 109 8 28032 0
Host 10 1000 28032 4 68 2092 9 23920 0
Host 10 1000 23920 3 53 121 15 22333 0
Host 10 1000 22333 4 49 69 4 13654 0
Host 10 1000 13654 3 24 56 25 4637 0
Host 10 1000 4637 2 0 57 24 NONE 0
Host 11 500 2173940 4 17778 20001 2223 2173897 1548
Host 11 500 2173897 3 17778 17805 0 2089975 0
Host 11 500 2089975 4 17097 18700 681 2089711 0
Host 11 500 2089711 3 17095 17100 2 2067526 0
Host 11 500 2067526 4 16905 17689 190 2067406 0
Host 11 500 2067406 3 16904 16914 1 2032921 0
Host 11 500 2032921 4 16622 17004 282 2032845 0
Host 11 500 2032845 3 16621 16622 1 1824840 0
Host 11 500 1824840 4 14871 20001 1750 1824537 1298
Host 11 500 1824537 3 14868 14871 3 1767605 0
Host 11 500 1767605 4 14395 17577 473 1767455 0
Host 11 500 1767455 3 14394 14407 1 1767053 0
Host 11 500 1767053 4 14391 14410 3 1765479 0
Host 11 500 1765479 3 14377 14402 14 1581480 0
Host 11 500 1581480 4 12813 15397 1564 1581211 0
Host 11 500 1581211 3 12811 12817 2 1519610 0
Host 11 500 1519610 4 12300 16596 511 1518293 0
Host 11 500 1518293 3 12289 12304 11 1500826 0
Host 11 500 1500826 4 12140 12341 149 1500564 0
Host 11 500 1500564 3 12138 12146 2 1450952 0
Host 11 500 1450952 4 11726 12948 412 1450866 0
Host 11 500 1450866 3 11726 11727 0 863243 0
Host 11 500 863243 4 6754 13782 4972 863004 0
Host 11 500 863004 3 6752 6761 2 650302 0
Host 11 500 650302 4 4958 9493 1794 649691 0
Host 11 500 649691 3 4953 4959 5 556383 0
Host 11 500 556383 4 4200 7272 753 555395 0
Host 11 500 555395 3 4192 4202 8 316660 0
Host 11 500 316660 4 2146 6259 2046 315965 0
Host 11 500 315965 3 2139 2148 7 185939 0
Host 11 500 185939 4 1068 4448 1071 185493 0
Host 11 500 185493 3 1065 1088 3 185346 0
Host 11 500 185346 4 1063 1065 2 184843 0
Host 11 500 184843 3 1059 1068 4 183088 0
Host 11 500 183088 4 1044 1078 15 182478 0
Host 11 500 182478 3 1040 1047 4 79353 0
Host 11 500 79353 4 232 3612 808 48659 0
Host 11 500 48659 3 124 292 108 45915 0
Host 11 500 45915 2 115 214 9 40671 0
Host 11 500 40671 3 99 118 16 894 0
Host 11 500 894 2 0 167 99 NONE 0
Host 11 1000 2693877 4 17374 20001 2627 2693548 3683
