partner rep sr id info origin_time destruction_time time_in_state parent_id num_orgs
Host 10 500 45959 3 70 20001 19931 38891 9757
Host 10 500 38891 2 48 104 22 10632 0
Host 10 500 10632 1 2 161 46 5550 0
Host 10 500 5550 2 0 4 2 NONE 0
Host 10 1000 42447 3 66 20001 19935 41872 9201
Host 10 1000 41872 2 63 68 3 37992 0
Host 10 1000 37992 3 48 2272 15 21722 0
Host 10 1000 21722 2 11 56 37 10840 0
Host 10 1000 10840 1 2 36 9 4637 0
Host 10 1000 4637 2 0 2 2 NONE 0
Host 11 500 611035 3 14386 20001 5615 610968 5776
Host 11 500 610968 2 14385 14389 1 230128 0
Host 11 500 230128 3 4200 18360 10185 230061 0
Host 11 500 230061 2 4198 4202 2 73833 0
Host 11 500 73833 3 218 12134 3980 40647 0
Host 11 500 40647 2 53 292 165 37247 0
Host 11 500 37247 1 43 55 10 33915 0
Host 11 500 33915 2 34 45 9 26166 0
Host 11 500 26166 1 18 191 16 25877 0
Host 11 500 25877 2 17 23 1 15342 0
Host 11 500 15342 1 4 19 13 894 0
Host 11 500 894 2 0 19 4 NONE 0
Host 11 1000 397956 3 2521 20001 17480 392458 8101
Host 11 1000 392458 2 2483 2562 38 392249 0
Host 11 1000 392249 1 2481 2484 2 391061 0
Host 11 1000 391061 2 2473 2553 8 386762 0
Host 11 1000 386762 1 2441 2480 32 385700 0
Host 11 1000 385700 2 2433 2463 8 272318 0
Host 11 1000 272318 1 1639 2595 794 270229 0
Host 11 1000 270229 2 1624 1647 15 229643 0
Host 11 1000 229643 1 1340 1764 284 228938 0
Host 11 1000 228938 2 1335 1342 5 207358 0
Host 11 1000 207358 1 1185 1550 150 206915 0
Host 11 1000 206915 0 1182 1200 3 172877 0
Host 11 1000 172877 1 944 1195 238 169953 0
Host 11 1000 169953 2 925 966 19 167598 0
Host 11 1000 167598 1 909 942 16 167367 0
Host 11 1000 167367 2 907 910 2 100224 0
Host 11 1000 100224 1 446 1351 461 96377 0
Host 11 1000 96377 2 418 456 28 95250 0
Host 11 1000 95250 1 411 439 7 95206 0
Host 11 1000 95206 2 410 415 1 93925 0
Host 11 1000 93925 1 401 424 9 93674 0
Host 11 1000 93674 2 399 452 2 93315 0
Host 11 1000 93315 1 397 401 2 91870 0
Host 11 1000 91870 2 386 417 11 14631 0
Host 11 1000 14631 1 4 653 382 9512 0
Host 11 1000 9512 2 0 4 4 NONE 0
Host 12 500 120367 3 1257 20001 18744 120322 6290
Host 12 500 120322 2 1256 1276 1 74248 0
Host 12 500 74248 3 226 20001 1030 52897 2427
Host 12 500 52897 2 95 288 131 50822 0
Host 12 500 50822 1 87 136 8 47013 0
Host 12 500 47013 2 73 88 14 46698 0
Host 12 500 46698 1 72 79 1 44918 0
Host 12 500 44918 2 66 79 6 28625 0
Host 12 500 28625 1 23 95 43 6522 0
Host 12 500 6522 2 0 35 23 NONE 0
Host 12 1000 536624 3 11359 20001 8642 536088 5833
Host 12 1000 536088 2 11347 11369 12 45846 0
Host 12 1000 45846 3 80 14409 11267 24134 0
Host 12 1000 24134 2 14 91 66 18322 0
Host 12 1000 18322 1 7 16 7 8297 0
Host 12 1000 8297 2 0 10 7 NONE 0
Host 13 500 309182 3 6509 20001 13492 308948 9291
Host 13 500 308948 2 6503 6522 6 63318 0
Host 13 500 63318 3 161 19998 6342 63213 0
Host 13 500 63213 2 160 166 1 58747 0
Host 13 500 58747 3 132 206 28 57566 0
Host 13 500 57566 2 125 134 7 55126 0
Host 13 500 55126 3 111 157 14 52968 0
Host 13 500 52968 2 100 141 11 50957 0
Host 13 500 50957 3 91 110 9 5185 0
Host 13 500 5185 2 0 152 91 NONE 0
Host 13 1000 959141 3 6470 20001 13531 948979 8890
Host 13 1000 948979 2 6403 6529 67 919383 0
Host 13 1000 919383 1 6198 6548 205 919046 0
Host 13 1000 919046 2 6196 6198 2 638390 0
Host 13 1000 638390 1 4220 6557 1976 632283 0
Host 13 1000 632283 2 4174 4292 46 621254 0
Host 13 1000 621254 1 4095 4337 79 621065 0
Host 13 1000 621065 0 4093 4095 2 620411 0
Host 13 1000 620411 1 4088 4094 5 618362 0
Host 13 1000 618362 0 4073 4104 15 617141 0
Host 13 1000 617141 1 4065 4075 8 616844 0
Host 13 1000 616844 0 4063 4068 2 607989 0
Host 13 1000 607989 1 3999 4085 64 607550 0
Host 13 1000 607550 0 3997 4008 2 558708 0
Host 13 1000 558708 1 3657 4936 340 557609 0
Host 13 1000 557609 2 3649 3688 8 557386 0
Host 13 1000 557386 1 3647 3651 2 556905 0
Host 13 1000 556905 2 3644 3651 3 283522 0
Host 13 1000 283522 1 1734 5010 1910 280663 0
Host 13 1000 280663 2 1713 1744 21 279869 0
Host 13 1000 279869 1 1707 1827 6 277861 0
Host 13 1000 277861 2 1694 1732 13 276633 0
Host 13 1000 276633 1 1686 1720 8 275181 0
Host 13 1000 275181 2 1677 1688 9 39144 0
Host 13 1000 39144 1 50 2469 1627 7441 0
Host 13 1000 7441 2 0 68 50 NONE 0
Host 14 500 77912 3 256 20001 19745 77722 9689
Host 14 500 77722 2 254 258 2 71015 0
Host 14 500 71015 3 207 268 47 54977 0
Host 14 500 54977 2 109 227 98 54847 0
Host 14 500 54847 1 108 110 1 49081 0
Host 14 500 49081 2 83 110 25 25328 0
Host 14 500 25328 1 16 347 67 24266 0
Host 14 500 24266 2 15 18 1 24046 0
Host 14 500 24046 1 14 19 1 19140 0
Host 14 500 19140 2 8 15 6 18326 0
Host 14 500 18326 1 7 11 1 16589 0
Host 14 500 16589 2 5 8 2 10303 0
Host 14 500 10303 1 2 8 3 8256 0
Host 14 500 8256 2 0 2 2 NONE 0
Host 14 1000 244192 3 4428 20001 15573 244158 8889
Host 14 1000 244158 2 4427 4434 1 46178 0
Host 14 1000 46178 3 82 8662 4345 44519 0
Host 14 1000 44519 2 74 98 8 38940 0
Host 14 1000 38940 3 51 128 23 17296 0
Host 14 1000 17296 2 6 84 45 13189 0
Host 14 1000 13189 1 2 49 4 7115 0
Host 14 1000 7115 2 0 5 2 NONE 0
Host 15 500 64950 3 155 20001 19846 64443 4215
Host 15 500 64443 2 152 156 3 64398 0
Host 15 500 64398 3 152 153 0 54701 0
Host 15 500 54701 2 103 209 49 53819 0
Host 15 500 53819 1 100 104 3 38605 0
Host 15 500 38605 2 48 131 52 30976 0
Host 15 500 30976 1 28 51 20 992 0
Host 15 500 992 2 0 61 28 NONE 0
Host 15 1000 33469 3 35 20001 19966 8002 8964
Host 15 1000 8002 2 0 83 35 NONE 0
Host 16 500 66682 3 170 20001 19831 49537 5566
Host 16 500 49537 2 83 204 87 21059 0
Host 16 500 21059 1 10 260 73 481 0
Host 16 500 481 2 0 23 10 NONE 0
Host 16 1000 713471 3 10730 20001 9271 713455 7720
Host 16 1000 713455 2 10730 10731 0 556150 0
Host 16 1000 556150 3 7097 15686 3633 556092 0
Host 16 1000 556092 2 7095 7097 2 338848 0
Host 16 1000 338848 3 2141 17608 4954 328756 0
Host 16 1000 328756 2 2070 2165 71 269595 0
Host 16 1000 269595 1 1651 2232 419 269282 0
Host 16 1000 269282 2 1649 1653 2 143372 0
Host 16 1000 143372 1 773 1760 876 142931 0
Host 16 1000 142931 0 770 777 3 113655 0
Host 16 1000 113655 1 566 1474 204 112765 0
Host 16 1000 112765 2 559 577 7 28935 0
Host 16 1000 28935 1 24 1146 535 531 0
Host 16 1000 531 2 0 42 24 NONE 0
Host 17 500 86164 3 307 20001 19694 85628 5388
Host 17 500 85628 2 304 327 3 85296 0
Host 17 500 85296 3 301 2811 3 69669 0
Host 17 500 69669 2 196 369 105 50944 0
