uid smoi rep sr update host_count sym_count free_sym_count hosted_sym_count sym_infectchance free_sym_infectchance hosted_sym_infectchance sym_val free_sym_val hosted_sym_val host_val cfu
1_10 1 10 500 0 10000 6292 6292 0 0 0 -nan 0 0 -nan 0 10000
1_10 1 10 500 100 10000 12069 8404 3665 0.219838 0.150902 0.377911 -0.199548 -0.138405 -0.339753 -0.0802058 10000
1_10 1 10 500 200 10000 12870 6526 6344 0.501361 0.419383 0.585692 0.208754 0.163923 0.254872 0.846793 10000
1_10 1 10 500 300 10000 12574 5911 6663 0.613006 0.519443 0.69601 0.216139 0.165292 0.261247 0.860747 10000
1_10 1 10 500 400 10000 12657 5845 6812 0.617318 0.519091 0.701602 0.206246 0.154846 0.25035 0.847914 10000
1_10 1 10 500 500 10000 12584 5731 6853 0.634065 0.526826 0.723746 0.205823 0.14941 0.253001 0.849486 10000
1_10 1 10 500 600 10000 12432 5727 6705 0.627871 0.529784 0.711651 0.215349 0.162415 0.260562 0.849234 10000
1_10 1 10 500 700 10000 12601 5716 6885 0.639377 0.542775 0.719578 0.21176 0.155594 0.258391 0.850102 10000
1_10 1 10 500 800 10000 12567 5937 6630 0.615651 0.50105 0.718274 0.213103 0.160217 0.260461 0.848441 10000
1_10 1 10 500 900 10000 12587 5811 6776 0.631011 0.530181 0.717482 0.21387 0.161817 0.25851 0.855072 10000
1_10 1 10 500 1000 10000 12583 5706 6877 0.644025 0.543174 0.727704 0.204918 0.148013 0.252133 0.859088 10000
1_10 1 10 500 1100 10000 12590 5880 6710 0.619844 0.519494 0.707781 0.210411 0.160197 0.254414 0.853039 10000
1_10 1 10 500 1200 10000 12618 5778 6840 0.618688 0.518994 0.702903 0.207568 0.150847 0.255481 0.851581 10000
1_10 1 10 500 1300 10000 12596 5768 6828 0.636261 0.53784 0.719402 0.214305 0.162322 0.258217 0.853109 10000
1_10 1 10 500 1400 10000 12737 5866 6871 0.624856 0.522203 0.712494 0.211102 0.158213 0.256255 0.855925 10000
1_10 1 10 500 1500 10000 12423 5653 6770 0.634406 0.537317 0.715476 0.219504 0.165862 0.264296 0.858396 10000
1_10 1 10 500 1600 10000 12569 5802 6767 0.631571 0.532179 0.716788 0.208668 0.158425 0.251747 0.849883 10000
1_10 1 10 500 1700 10000 12621 5839 6782 0.621638 0.520883 0.708384 0.210431 0.155755 0.257504 0.855656 10000
1_10 1 10 500 1800 10000 12610 5851 6759 0.61176 0.510939 0.699036 0.203837 0.149384 0.250974 0.855284 10000
1_10 1 10 500 1900 10000 12737 5921 6816 0.622897 0.52333 0.70939 0.210955 0.159028 0.256063 0.852979 10000
1_10 1 10 500 2000 10000 12674 5935 6739 0.607934 0.50779 0.69613 0.210861 0.156956 0.258335 0.855809 10000
1_10 1 10 500 2100 10000 12495 5654 6841 0.649098 0.549944 0.731048 0.214878 0.162552 0.258126 0.856318 10000
1_10 1 10 500 2200 10000 12607 5828 6779 0.612126 0.510005 0.699921 0.206985 0.148969 0.256862 0.85571 10000
1_10 1 10 500 2300 10000 12611 5915 6696 0.619441 0.513029 0.713442 0.203748 0.147548 0.253392 0.843059 10000
1_10 1 10 500 2400 10000 12532 5736 6796 0.628525 0.528813 0.712684 0.213839 0.156321 0.262387 0.855745 10000
1_10 1 10 500 2500 10000 12495 5668 6827 0.651561 0.558116 0.729142 0.213829 0.1614 0.257357 0.858058 10000
1_10 1 10 500 2600 10000 12583 5896 6687 0.600478 0.495876 0.692706 0.216776 0.166009 0.261537 0.858771 10000
1_10 1 10 500 2700 10000 12489 5664 6825 0.642604 0.544963 0.723635 0.21538 0.161441 0.260144 0.856262 10000
1_10 1 10 500 2800 10000 12613 5826 6787 0.623548 0.523319 0.709584 0.205464 0.150791 0.252396 0.852847 10000
1_10 1 10 500 2900 10000 12608 5731 6877 0.639278 0.535838 0.725481 0.212826 0.160729 0.256241 0.859875 10000
1_10 1 10 500 3000 10000 12562 5862 6700 0.621632 0.516532 0.713587 0.210893 0.159702 0.255682 0.848337 10000
1_10 1 10 500 3100 10000 12569 5762 6807 0.624957 0.531865 0.703758 0.216043 0.164996 0.259253 0.855457 10000
