uid smoi rep sr update host_count sym_count free_sym_count hosted_sym_count sym_infectchance free_sym_infectchance hosted_sym_infectchance sym_val free_sym_val hosted_sym_val host_val cfu
1_10 1 10 500 0 10000 6292 6292 0 0 0 -nan 0 0 -nan 0 10000
1_10 1 10 500 100 10000 9072 9072 0 0.0924365 0.0924365 -nan -0.0999002 -0.0999002 -nan -0.068725 10000
1_10 1 10 500 200 10000 8939 8939 0 0.0968981 0.0968981 -nan -0.123057 -0.123057 -nan -0.103779 10000
1_10 1 10 500 300 10000 9010 9010 0 0.0958704 0.0958704 -nan -0.0837404 -0.0837404 -nan -0.091734 10000
1_10 1 10 500 400 10000 9071 9071 0 0.0927652 0.0927652 -nan -0.0877833 -0.0877833 -nan -0.08697 10000
1_10 1 10 500 500 10000 9009 9009 0 0.094554 0.094554 -nan -0.0777351 -0.0777351 -nan -0.0861279 10000
1_10 1 10 500 600 10000 9074 9074 0 0.0897791 0.0897791 -nan -0.0771932 -0.0771932 -nan -0.100774 10000
1_10 1 10 500 700 10000 9070 9070 0 0.087693 0.087693 -nan -0.069157 -0.069157 -nan -0.0961679 10000
1_10 1 10 500 800 10000 9007 9007 0 0.0946232 0.0946232 -nan -0.0590224 -0.0590224 -nan -0.0974161 10000
1_10 1 10 500 900 10000 8956 8956 0 0.0915265 0.0915265 -nan -0.0848732 -0.0848732 -nan -0.087183 10000
1_10 1 10 500 1000 10000 9035 9035 0 0.0913965 0.0913965 -nan -0.102942 -0.102942 -nan -0.0801086 10000
1_10 1 10 500 1100 10000 8935 8935 0 0.0940384 0.0940384 -nan -0.0834578 -0.0834578 -nan -0.106237 10000
1_10 1 10 500 1200 10000 9045 9045 0 0.0900701 0.0900701 -nan -0.0876101 -0.0876101 -nan -0.0930581 10000
1_10 1 10 500 1300 10000 8983 8983 0 0.0932541 0.0932541 -nan -0.0887798 -0.0887798 -nan -0.100835 10000
1_10 1 10 500 1400 10000 8966 8966 0 0.09251 0.09251 -nan -0.10969 -0.10969 -nan -0.0787642 10000
1_10 1 10 500 1500 10000 8997 8997 0 0.0920583 0.0920583 -nan -0.105763 -0.105763 -nan -0.0956369 10000
1_10 1 10 500 1600 10000 9018 9018 0 0.0905194 0.0905194 -nan -0.0736179 -0.0736179 -nan -0.08172 10000
1_10 1 10 500 1700 10000 9053 9053 0 0.0908222 0.0908222 -nan -0.10608 -0.10608 -nan -0.0932684 10000
1_10 1 10 500 1800 10000 8956 8956 0 0.093639 0.093639 -nan -0.101846 -0.101846 -nan -0.0959511 10000
1_10 1 10 500 1900 10000 9028 9028 0 0.0938023 0.0938023 -nan -0.0986591 -0.0986591 -nan -0.0932682 10000
1_10 1 10 500 2000 10000 9047 9047 0 0.0904136 0.0904136 -nan -0.0961302 -0.0961302 -nan -0.0984658 10000
1_10 1 10 500 2100 10000 9018 9018 0 0.0933904 0.0933904 -nan -0.0882101 -0.0882101 -nan -0.0822858 10000
1_10 1 10 500 2200 10000 9019 9019 0 0.092943 0.092943 -nan -0.082556 -0.082556 -nan -0.0823799 10000
1_10 1 10 500 2300 10000 9029 9029 0 0.0917491 0.0917491 -nan -0.0971542 -0.0971542 -nan -0.0813985 10000
1_10 1 10 500 2400 10000 8986 8986 0 0.0949719 0.0949719 -nan -0.0864654 -0.0864654 -nan -0.0895468 10000
1_10 1 10 500 2500 10000 8959 8959 0 0.0918852 0.0918852 -nan -0.0627186 -0.0627186 -nan -0.0824211 10000
1_10 1 10 500 2600 10000 8959 8959 0 0.0956053 0.0956053 -nan -0.0806128 -0.0806128 -nan -0.0930685 10000
1_10 1 10 500 2700 10000 9020 9020 0 0.0957971 0.0957971 -nan -0.0876508 -0.0876508 -nan -0.0930718 10000
1_10 1 10 500 2800 10000 9056 9056 0 0.091311 0.091311 -nan -0.0835271 -0.0835271 -nan -0.0984272 10000
1_10 1 10 500 2900 10000 8965 8965 0 0.0945668 0.0945668 -nan -0.107328 -0.107328 -nan -0.100252 10000
1_10 1 10 500 3000 10000 9006 9006 0 0.0941725 0.0941725 -nan -0.104141 -0.104141 -nan -0.105493 10000
