partner rep sr id info origin_time destruction_time time_in_state parent_id num_orgs
Host 10 500 268019 3 813 20001 19188 251389 9164
Host 10 500 251389 2 755 817 58 247649 0
Host 10 500 247649 1 743 827 12 240781 0
Host 10 500 240781 2 719 745 24 197347 0
Host 10 500 197347 1 578 814 141 196460 0
Host 10 500 196460 2 575 579 3 189417 0
Host 10 500 189417 1 551 593 24 188122 0
Host 10 500 188122 2 547 553 4 145488 0
Host 10 500 145488 1 405 578 142 139688 0
Host 10 500 139688 2 386 417 19 138375 0
Host 10 500 138375 1 381 389 5 135006 0
Host 10 500 135006 2 370 421 11 127698 0
Host 10 500 127698 1 346 421 24 126337 0
Host 10 500 126337 2 342 347 4 90834 0
Host 10 500 90834 1 221 442 121 90384 0
Host 10 500 90384 2 220 224 1 86861 0
Host 10 500 86861 1 208 221 12 86660 0
Host 10 500 86660 2 207 211 1 86008 0
Host 10 500 86008 1 205 211 2 59149 0
Host 10 500 59149 2 114 206 91 57237 0
Host 10 500 57237 1 107 273 7 52836 0
Host 10 500 52836 2 93 146 14 50873 0
Host 10 500 50873 1 86 95 7 34053 0
Host 10 500 34053 2 36 194 50 30647 0
Host 10 500 30647 1 28 230 8 30291 0
Host 10 500 30291 2 27 30 1 27738 0
Host 10 500 27738 1 21 43 6 20709 0
Host 10 500 20709 2 10 51 11 14982 0
Host 10 500 14982 1 4 11 6 8243 0
Host 10 500 8243 2 0 13 4 NONE 0
Host 10 1000 3007076 3 13514 20001 6487 2996971 9575
Host 10 1000 2996971 2 13468 13588 46 2995149 0
Host 10 1000 2995149 1 13460 13494 8 2990739 0
Host 10 1000 2990739 2 13440 13467 20 2854458 0
Host 10 1000 2854458 1 12825 13658 615 2847928 0
Host 10 1000 2847928 2 12797 12890 28 2799678 0
Host 10 1000 2799678 1 12580 12973 217 2793467 0
Host 10 1000 2793467 2 12553 12601 27 2783947 0
Host 10 1000 2783947 1 12509 12691 44 2783594 0
Host 10 1000 2783594 2 12507 12509 2 2781779 0
Host 10 1000 2781779 1 12499 12512 8 2779477 0
Host 10 1000 2779477 2 12488 12536 11 2507125 0
Host 10 1000 2507125 1 11238 12964 1250 2503880 0
Host 10 1000 2503880 2 11223 11248 15 2502694 0
Host 10 1000 2502694 1 11217 11229 6 2502065 0
Host 10 1000 2502065 2 11215 11248 2 2467599 0
Host 10 1000 2467599 1 11058 11317 157 2467173 0
Host 10 1000 2467173 2 11056 11061 2 2269371 0
Host 10 1000 2269371 1 10162 11765 894 2266612 0
Host 10 1000 2266612 2 10149 10175 13 2266363 0
Host 10 1000 2266363 1 10148 10150 1 2266176 0
Host 10 1000 2266176 2 10147 10149 1 2192261 0
Host 10 1000 2192261 1 9805 10330 342 2192067 0
Host 10 1000 2192067 2 9804 9808 1 2190249 0
Host 10 1000 2190249 1 9796 9890 8 2190059 0
Host 10 1000 2190059 2 9795 9812 1 2189107 0
Host 10 1000 2189107 1 9791 9804 4 2184617 0
Host 10 1000 2184617 2 9770 9795 21 2179091 0
Host 10 1000 2179091 1 9746 9834 24 2173286 0
Host 10 1000 2173286 2 9721 9809 25 2164100 0
Host 10 1000 2164100 1 9679 9808 42 2158603 0
Host 10 1000 2158603 2 9655 9691 24 2143648 0
Host 10 1000 2143648 1 9586 9702 69 2138201 0
Host 10 1000 2138201 2 9562 9613 24 1970418 0
Host 10 1000 1970418 1 8803 9678 759 1969766 0
Host 10 1000 1969766 2 8800 8804 3 1821541 0
Host 10 1000 1821541 1 8131 8978 669 1820733 0
Host 10 1000 1820733 2 8127 8144 4 1818436 0
Host 10 1000 1818436 1 8117 8152 10 1817236 0
Host 10 1000 1817236 2 8112 8119 5 1803914 0
Host 10 1000 1803914 1 8052 8124 60 1801758 0
Host 10 1000 1801758 2 8042 8067 10 1766348 0
Host 10 1000 1766348 1 7882 8084 160 1755813 0
Host 10 1000 1755813 2 7834 7893 48 1755288 0
Host 10 1000 1755288 1 7832 7842 2 1752073 0
Host 10 1000 1752073 2 7817 7847 15 1734932 0
Host 10 1000 1734932 1 7738 7858 79 1728388 0
Host 10 1000 1728388 2 7707 7765 31 1723942 0
Host 10 1000 1723942 1 7686 7708 21 1723619 0
Host 10 1000 1723619 2 7684 7690 2 1584302 0
Host 10 1000 1584302 1 7051 7776 633 1580480 0
Host 10 1000 1580480 2 7034 7094 17 1578225 0
Host 10 1000 1578225 1 7024 7034 10 1577423 0
Host 10 1000 1577423 2 7021 7048 3 1574822 0
Host 10 1000 1574822 1 7009 7033 12 1570144 0
Host 10 1000 1570144 2 6988 7111 21 1408023 0
Host 10 1000 1408023 1 6245 7161 743 1407162 0
Host 10 1000 1407162 2 6241 6254 4 1374916 0
Host 10 1000 1374916 1 6094 6341 147 1374137 0
Host 10 1000 1374137 2 6091 6095 3 1373857 0
Host 10 1000 1373857 1 6090 6091 1 1373809 0
Host 10 1000 1373809 2 6089 6106 1 1333212 0
Host 10 1000 1333212 1 5906 6753 183 1332656 0
Host 10 1000 1332656 2 5904 5907 2 1291442 0
Host 10 1000 1291442 1 5719 6142 185 1291077 0
Host 10 1000 1291077 2 5717 5721 2 1206693 0
Host 10 1000 1206693 1 5339 5982 378 1205091 0
Host 10 1000 1205091 2 5332 5344 7 1203324 0
Host 10 1000 1203324 1 5323 5337 9 1199903 0
Host 10 1000 1199903 2 5308 5329 15 1198895 0
Host 10 1000 1198895 1 5303 5322 5 1198436 0
Host 10 1000 1198436 2 5301 5318 2 1197184 0
Host 10 1000 1197184 1 5296 5314 5 1192270 0
Host 10 1000 1192270 2 5275 5334 21 1177207 0
Host 10 1000 1177207 1 5206 5280 69 1172522 0
Host 10 1000 1172522 2 5186 5230 20 1156563 0
Host 10 1000 1156563 1 5115 5619 71 1148762 0
Host 10 1000 1148762 2 5081 5134 34 1048213 0
Host 10 1000 1048213 1 4622 5100 459 1042639 0
Host 10 1000 1042639 2 4597 4678 25 1041147 0
Host 10 1000 1041147 1 4590 4597 7 1040547 0
Host 10 1000 1040547 2 4587 4593 3 999860 0
Host 10 1000 999860 1 4400 4812 187 997515 0
Host 10 1000 997515 2 4390 4407 10 979492 0
Host 10 1000 979492 1 4307 4565 83 978886 0
Host 10 1000 978886 2 4304 4311 3 961240 0
Host 10 1000 961240 1 4224 4329 80 959809 0
Host 10 1000 959809 2 4218 4228 6 894051 0
Host 10 1000 894051 1 3919 4308 299 887609 0
Host 10 1000 887609 2 3890 3978 29 866322 0
Host 10 1000 866322 1 3797 3914 93 863822 0
Host 10 1000 863822 2 3786 3798 11 862218 0
Host 10 1000 862218 1 3778 3814 8 861181 0
Host 10 1000 861181 2 3773 3793 5 860986 0
Host 10 1000 860986 1 3772 3774 1 860223 0
Host 10 1000 860223 2 3769 3772 3 859722 0
Host 10 1000 859722 1 3766 3774 3 849352 0
Host 10 1000 849352 2 3719 3776 47 847572 0
Host 10 1000 847572 1 3711 3742 8 842790 0
Host 10 1000 842790 2 3690 3743 21 826580 0
Host 10 1000 826580 1 3616 3797 74 825671 0
Host 10 1000 825671 2 3612 3619 4 802597 0
Host 10 1000 802597 1 3506 3984 106 797835 0
Host 10 1000 797835 2 3483 3530 23 729886 0
Host 10 1000 729886 1 3173 3675 310 729367 0
Host 10 1000 729367 2 3171 3179 2 728583 0
Host 10 1000 728583 1 3168 3243 3 727385 0
Host 10 1000 727385 2 3162 3171 6 622848 0
Host 10 1000 622848 1 2692 3298 470 605263 0
Host 10 1000 605263 2 2611 2736 81 555254 0
Host 10 1000 555254 1 2382 2836 229 551600 0
Host 10 1000 551600 2 2366 2391 16 551280 0
Host 10 1000 551280 1 2364 2381 2 549746 0
Host 10 1000 549746 2 2357 2373 7 534197 0
