uid smoi rep sr update host_count sym_count free_sym_count hosted_sym_count sym_infectchance free_sym_infectchance hosted_sym_infectchance sym_val free_sym_val hosted_sym_val host_val cfu
1_10 1 10 500 0 10000 6292 6292 0 0 0 -nan 0 0 -nan 0 10000
1_10 1 10 500 100 10000 11426 8869 2557 0.138114 0.111904 0.229022 -0.0393591 -0.0317684 -0.0656877 -0.0155842 10000
1_10 1 10 500 200 10000 11353 8803 2550 0.134414 0.107974 0.225689 -0.0507202 -0.0416453 -0.0820483 -0.0287218 10000
1_10 1 10 500 300 10000 11437 8823 2614 0.136772 0.110212 0.226419 -0.0454618 -0.0379307 -0.0708812 -0.0260484 10000
1_10 1 10 500 400 10000 11337 8906 2431 0.132794 0.106769 0.228135 -0.0557909 -0.0477819 -0.085132 -0.0251016 10000
1_10 1 10 500 500 10000 11432 8875 2557 0.133241 0.105047 0.231101 -0.0463962 -0.0395148 -0.0702805 -0.0220511 10000
1_10 1 10 500 600 10000 11406 8888 2518 0.133806 0.107486 0.226709 -0.0443712 -0.0375606 -0.068411 -0.0229372 10000
1_10 1 10 500 700 10000 11326 8886 2440 0.135345 0.108132 0.234449 -0.0600321 -0.0528024 -0.0863613 -0.0223353 10000
1_10 1 10 500 800 10000 11341 8902 2439 0.132143 0.106375 0.226194 -0.0367263 -0.0289803 -0.0649983 -0.0264862 10000
1_10 1 10 500 900 10000 11873 8815 3058 0.15437 0.120902 0.250848 -0.00324795 -0.0152611 0.0313812 0.0736948 10000
1_10 1 10 500 1000 10000 13486 6199 7287 0.559229 0.467014 0.637676 0.253055 0.201241 0.297132 0.863663 10000
1_10 1 10 500 1100 10000 13239 5797 7442 0.630325 0.525518 0.711966 0.248575 0.187327 0.296285 0.853626 10000
1_10 1 10 500 1200 10000 13145 5678 7467 0.637105 0.527755 0.720255 0.244427 0.179857 0.293526 0.858676 10000
1_10 1 10 500 1300 10000 13208 5741 7467 0.627188 0.535229 0.69789 0.249133 0.188426 0.295808 0.857156 10000
1_10 1 10 500 1400 10000 13157 5761 7396 0.630966 0.523618 0.714584 0.24708 0.185735 0.294864 0.857603 10000
1_10 1 10 500 1500 10000 13221 5867 7354 0.628224 0.519751 0.714764 0.246426 0.183516 0.296615 0.858963 10000
1_10 1 10 500 1600 10000 13185 5773 7412 0.627711 0.524434 0.70815 0.247544 0.180868 0.299477 0.861057 10000
1_10 1 10 500 1700 10000 13276 5893 7383 0.610273 0.503536 0.69547 0.247959 0.184235 0.298822 0.867809 10000
1_10 1 10 500 1800 10000 13168 5672 7496 0.637958 0.524491 0.723815 0.240619 0.172988 0.291793 0.853489 10000
1_10 1 10 500 1900 10000 13314 5902 7412 0.613453 0.50955 0.696189 0.243824 0.182204 0.292892 0.848967 10000
